prop_id,prop_type,province,city,location,bedrooms,bathrooms,area,purpose,date_added,price,pprice
133,Flat,Sindh,Karachi,"Defence View Society, Karachi, Sindh",2,2,120 Sq. Yd.,For Sale,6/29/2023,PKR1.3 Crore,13000000
134,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",,2,200 Sq. Yd.,For Sale,6/29/2023,PKR9.75 Crore,97500000
135,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",3,2,167 Sq. Yd.,For Sale,6/29/2023,PKR6 Crore,60000000
136,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,125 Sq. Yd.,For Sale,6/29/2023,PKR1.3 Crore,13000000
137,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,6/29/2023,PKR1.75 Crore,17500000
138,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,6/29/2023,PKR1.4 Crore,14000000
139,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,350 Sq. Yd.,For Sale,6/29/2023,PKR1.85 Crore,18500000
140,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,6/29/2023,PKR1.35 Crore,13500000
141,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,6/28/2023,PKR22 Crore,220000000
142,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",3,3,128 Sq. Yd.,For Sale,6/28/2023,PKR1.4 Crore,14000000
143,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,5,500 Sq. Yd.,For Sale,6/28/2023,PKR11.75 Crore,117500000
144,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",2,2,106 Sq. Yd.,For Sale,6/28/2023,PKR1.3 Crore,13000000
145,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,6,300 Sq. Yd.,For Sale,6/28/2023,PKR7.6 Crore,76000000
146,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",5,4,500 Sq. Yd.,For Sale,6/28/2023,PKR11 Crore,110000000
147,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,10,"1,000 Sq. Yd.",For Sale,6/28/2023,PKR23 Crore,230000000
148,Flat,Sindh,Karachi,"DHA Defence, Karachi, Sindh",2,2,100 Sq. Yd.,For Sale,6/28/2023,PKR1.35 Crore,13500000
149,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",4,4,250 Sq. Yd.,For Sale,6/30/2023,PKR3.4 Crore,34000000
150,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",5,4,350 Sq. Yd.,For Sale,6/30/2023,PKR1.98 Crore,19800000
151,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",6,7,510 Sq. Yd.,For Sale,6/30/2023,PKR7 Crore,70000000
152,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,235 Sq. Yd.,For Sale,6/30/2023,PKR1.49 Crore,14900000
153,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,6/30/2023,PKR1.35 Crore,13500000
154,Flat,Sindh,Karachi,"Navy Housing Scheme Karsaz, Karachi, Sindh",4,4,467 Sq. Yd.,For Sale,6/29/2023,PKR8.45 Crore,84500000
155,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",5,4,350 Sq. Yd.,For Sale,6/29/2023,PKR2.23 Crore,22300000
156,House,Sindh,Karachi,"Naya Nazimabad, Karachi, Sindh",6,6,240 Sq. Yd.,For Sale,6/29/2023,PKR4.3 Crore,43000000
157,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",4,4,500 Sq. Yd.,For Sale,6/29/2023,PKR8.5 Crore,85000000
158,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,6,"1,000 Sq. Yd.",For Sale,6/29/2023,PKR35 Crore,350000000
159,House,Sindh,Karachi,"Cantt, Karachi, Sindh",5,5,375 Sq. Yd.,For Sale,6/29/2023,PKR7.5 Crore,75000000
160,Flat,Sindh,Karachi,"Cantt, Karachi, Sindh",6,5,375 Sq. Yd.,For Sale,6/29/2023,PKR8.25 Crore,82500000
161,Flat,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",2,2,122 Sq. Yd.,For Sale,6/29/2023,PKR70 Lakh,700000000
